code,region,domestic_standard,domestic_e7,all_domestic,all_non_domestic,all_meters
E12000001,North East,3460.5,294.8,3755.4,7243.3,10998.6
E12000002,North West,9962.5,1193.6,11156.1,18668.6,29824.7
E12000003,Yorkshire and The Humber,7287,819.6,8106.6,14438.9,22545.5
E12000004,East Midlands,4911.9,2607.4,7519.3,12759.7,20279
E12000005,West Midlands,7255.8,1752.3,9008.1,14407.6,23415.7
E12000006,East,7189.6,3452.7,10642.3,15037.2,25679.5
E12000007,London,10483.3,2034.7,12517.9,24775.1,37293
E13000001,Inner London,4344.1,673,5017.1,15341.3,20358.4
E13000002,Outer London,6139.2,1361.7,7500.8,9433.8,16934.7
E12000008,South East,12259.3,3233.7,15492.9,21557.1,37050.1
E12000009,South West,7857.3,2109,9966.3,13087.9,23054.2
W92000004,Wales,4307.1,548.8,4855.9,9860,14716
S92000003,Scotland ,7785.6,1839.6,9625.2,14443.3,24068.5
